"kelime","anlam"
"Tuluât","muhtelif sorulara cevap olarak kalbe doğan fikirler anlamında Üstad Bediüzzaman’ın Eski Said dönemine ait bir eseri"
"zerrat","zerreler; hücreler, atomlar"
"menzil","yer, mekân"
"menzilhane","hane, yer"
"merhale","derece, kademe, aşama"
"mevt","ölüm"
"meyyit","ölü"
"muhaceret-i umumî","genel göç"
"müselsel","silsile halinde, zincirleme"
"müstensih","bir nüshayı yazıp çoğaltan"
"mütemessil","yansıyan, akseden görüntü"
"müteselsil","silsile halinde, zincirleme"
"seyyiat","günahlar, kötülükler"
"şahsî","kişisel"
"şiddet-i tehalüf","büyük farklılık, aşırı değişiklik"
"telhis","birşeyi süzüp özünü alma, özetleme"
"tesir","etki"
"tezahür etmek","ortaya çıkmak, görünmek"
"Tuluât","muhtelif sorulara cevap olarak kalbe doğan fikirler anlamında Üstad Bediüzzaman’ın Eski Said dönemine ait bir eseri"
"zerrat","zerreler; hücreler, atomlar"
"acip","acayip, şaşırtıcı, tuhaf"
"akis","yansıma"
"âlem-i turab","toprak âlemi"
"bîçare","çaresiz"
"esasat","kökler, başlangıçlar"
"eyne’s-serâ mine’s-Süreyya","“yer nerede, Ülker takım yıldızı nerede?” (iki şeyin birbirinden çok farklı ve birbirine zıt ve uzak olduğunu ifade etmek için söylenen bir deyim)"
"fikrî","düşünceye ait, düşünceyle ilgili"
"gayr","diğeri, başkası"
"hakikat","asıl, esas, gerçek"
"hâşâ","kesinlikle öyle değil"
"irca","döndürme, yönlendirme"
"istinsah etme","yazarak çoğaltma"
"izah etme","açıklama"
"kâinat","evren, bütün yaratılmışlar"
"kalem-i sun-u İlâhî","Cenâb-ı Hakkın san'at kalemi"
"kelimat","kelimeler, sözler"
"kesif","katı, yoğun, saydam olmayan"
"keşfî","gaybî hususları, bilinmeyen hakikatleri keşfetmekle bilmek"
"kudret","Cenâb-ı Hakkın sonsuz güç ve iktidarı"
"lisân","dil"
"matbaa","tab edilen, basılan yer, basımevi, bir eserin basılıp çıktığı yer"
"mesele-i zevkiye","zevk ile (tadılıp yaşamakla) bilinen mesele"
"misleyn","birbirine benzeyen iki şey, birbirinin aynısı olan iki şey"
"mizan","ölçü, terazi"
"müzehher","çiçek açmış, çiçeklerle bezenmiş"
"nazar","bakma, görüş, fikir"
"nazar-ı fikir","fikrin gözü, düşünce bakışı"
"nuranî","nurlu, aydınlık, parlak"
"rüyet","görme, görüş"
"sırr-ı tenasül","çoğalmanın, üremenin sırrı, esprisi"
"sofiye","sofilik (sofi yolunun vahdetü’l-vücudu)"
"tasarruf etmek","dilediği gibi kullanmak"
"tazammun etmek","içermek, içine almak"
"telâkki etme","anlama, kabul etme"
"tenevvü etme","çeşitli olma, çeşitlenme"
"vahdetü’l-mevcud","“Yaratıcı, kâinatı oluşturan varlıkların toplamıdır. Allah da kâinat da birdir. Tek olan ilâh kâinatın bütünüdür” şeklinde kâinat hesabına Allah’ı inkâr eden materyalist felsefî düşünce sistemi"
"vahdetü’l-vücud","“Allah’ın varlığı o kadar mükemmeldir ki, diğer varlıklar Ona göre bir gölge gibidir ve ‘varlık’ adını almaya lâyık değiller” tarzında tasavvufî bir görüş"
"vahdet-ü’ş-şuhud","“Allah’tan başka birşeyin görülmemesi ve Allah’tan başka herşeyin unutkanlık perdesiyle örtülmesi” şeklinde tasavvufî bir görüş"
"zaifü’l-itikad","zayıf inançlı"
"zevkî","İlâhî tecelli ve hakikatlerin idrakiyle alınan mânevî haz ve zevk ile ilgili"
"zıddeyn","birbirine aksi olan iki şey, iki zıt şey"
"ekser","çoğunluk"
"elem","acı, keder"
"haşiye","dipnot, açıklayıcı not"
"hevesî","arzu ve isteklerle ilgili"
"ihrak etme","yakma"
"ihtiyar","tercih, seçim serbestliği"
"israf","savurganlık, ihtiyaç fazlası tüketim"
"lezzetperest","maddî mânevî zevk ve lezzet peşinde koşan, zevk ve lezzete düşkün"
"lisân","dil"
"mugaddîlik","gıdalı olma, besleyicilik"
"muhbir","haberci, haber veren"
"muzmer","gizli, saklı"
"müstetir","gizli, örtülü"
"nazar-ı dikkat","dikkatli bakış, bakma"
"nefisperest","nefsini aşırı seven, nefsin arzu ve isteklerine düşkün"
"sefih","akılsız, beyinsiz, ahmak, malını israf edip savuran"
"tahattur","hatırlama"
"taltif","ödüllendirmek, iyilik ve lütufta bulunmak"
"tâzip etmek","azap vermek"
"telâffuz etme","söyleme, ifade etme"
"telezzüz","lezzet alma; lüks hayat sürerek zevk içinde yaşama"
"tereffüh","lüks hayata düşkünlük; bol bol tüketerek refah bir hayat yaşama"
"zaika","tad alma duygusu, dil"
"zemherir","şiddetli ve yakıcı soğuk"
"ekser","çoğunluk"
"elem","acı, keder"
"haşiye","dipnot, açıklayıcı not"
"hevesî","arzu ve isteklerle ilgili"
"ihrak etme","yakma"
"ihtiyar","tercih, seçim serbestliği"
"israf","savurganlık, ihtiyaç fazlası tüketim"
"lezzetperest","maddî mânevî zevk ve lezzet peşinde koşan, zevk ve lezzete düşkün"
"lisân","dil"
"mugaddîlik","gıdalı olma, besleyicilik"
"muhbir","haberci, haber veren"
"muzmer","gizli, saklı"
"müstetir","gizli, örtülü"
"nazar-ı dikkat","dikkatli bakış, bakma"
"nefisperest","nefsini aşırı seven, nefsin arzu ve isteklerine düşkün"
"sefih","akılsız, beyinsiz, ahmak, malını israf edip savuran"
"tahattur","hatırlama"
"taltif","ödüllendirmek, iyilik ve lütufta bulunmak"
"tâzip etmek","azap vermek"
"telâffuz etme","söyleme, ifade etme"
"telezzüz","lezzet alma; lüks hayat sürerek zevk içinde yaşama"
"tereffüh","lüks hayata düşkünlük; bol bol tüketerek refah bir hayat yaşama"
"zaika","tad alma duygusu, dil"
"zemherir","şiddetli ve yakıcı soğuk"
"âlâm-ı mâziye","geçmiş zamanın elemleri, acıları"
"bakire","evlenmemiş kadın"
"bekâr","evlenmemiş erkek"
"bîkâr","işsiz, kazançsız"
"bir sülüs","üçte bir"
"cemiyet","toplum, dernek"
"cihad","Allah için kutsal şeyleri koruma gayret ve mücadelesi"
"divan","şiir ya da manzume kitabı; klasik şairlerin şiirlerinin toplandığı kitap"
"elem","acı, keder"
"elem-i fikrî","düşünceye ait acı, düşünceyle ilgili acı, keder"
"elhamdü lillâh","Allah’a hamd olsun"
"evliyaullah","Allah'ın velî kulları, Allah dostları, Allah'ın salih kulları"
"harb","savaş"
"hasm","düşman"
"heder saymak","boş saymak, boşu boşuna gitmiş saymak"
"hüküm","yargı, karar"
"iki sülüs","üçte iki"
"istihfaf","hafife alma, küçük görme"
"izdivaç","evlenme, evlilik"
"lezaiz-i mâziye","geçmişteki lezzetler"
"lezzet-i ruhaniye","ruha ait lezzet, mânevî yönden alınan haz"
"meş’um","kötümser, kötü, çirkin"
"muhalefet","karşıt düşünce, farklı görüş"
"muvakkat","gelip geçici"
"şehadet","şehitlik, Allah rızası yolunda hayatını feda etmek"
"şüheda","şehitler, Allah yolunda ölenler"
"tasavvur-u zeval","birşeyin bittiğini, sona erdiğini düşünme"
"tasavvur-u zeval","yok olup gittiğini düşünme"
"tasavvur-u zeval-i lezzet","lezzetin sona ereceğini düşünme"
"tasfiye","arındırma, temizleme"
"tebessüm etme","gülümseme"
"tehzip","terbiye etme"
"tenkit etme","eleştirme"
"velî","Allah’ın sevgili kulu, Allah dostu"
"zeval-i elem","acı ve kederin sona ermesi"
"zeval-i lezzet","lezzetin sona ermesi"
"âlâm-ı mâziye","geçmiş zamanın elemleri, acıları"
"bakire","evlenmemiş kadın"
"bekâr","evlenmemiş erkek"
"bîkâr","işsiz, kazançsız"
"bir sülüs","üçte bir"
"cemiyet","toplum, dernek"
"cihad","Allah için kutsal şeyleri koruma gayret ve mücadelesi"
"divan","şiir ya da manzume kitabı; klasik şairlerin şiirlerinin toplandığı kitap"
"elem","acı, keder"
"elem-i fikrî","düşünceye ait acı, düşünceyle ilgili acı, keder"
"elhamdü lillâh","Allah’a hamd olsun"
"evliyaullah","Allah'ın velî kulları, Allah dostları, Allah'ın salih kulları"
"harb","savaş"
"hasm","düşman"
"heder saymak","boş saymak, boşu boşuna gitmiş saymak"
"hüküm","yargı, karar"
"iki sülüs","üçte iki"
"istihfaf","hafife alma, küçük görme"
"izdivaç","evlenme, evlilik"
"lezaiz-i mâziye","geçmişteki lezzetler"
"lezzet-i ruhaniye","ruha ait lezzet, mânevî yönden alınan haz"
"meş’um","kötümser, kötü, çirkin"
"muhalefet","karşıt düşünce, farklı görüş"
"muvakkat","gelip geçici"
"şehadet","şehitlik, Allah rızası yolunda hayatını feda etmek"
"şüheda","şehitler, Allah yolunda ölenler"
"tasavvur-u zeval","birşeyin bittiğini, sona erdiğini düşünme"
"tasavvur-u zeval","yok olup gittiğini düşünme"
"tasavvur-u zeval-i lezzet","lezzetin sona ereceğini düşünme"
"tasfiye","arındırma, temizleme"
"tebessüm etme","gülümseme"
"tehzip","terbiye etme"
"tenkit etme","eleştirme"
"velî","Allah’ın sevgili kulu, Allah dostu"
"zeval-i elem","acı ve kederin sona ermesi"
"zeval-i lezzet","lezzetin sona ermesi"
"âlâm","elemler, acılar, kederler"
"âlim-i mürşid","irşad eden, yol gösteren âlim, yol gösterici bilgin"
"âlûfte olma","alışkanlık ve ülfetle duyarsız hâle gelme, namus perdesi yırtık olma"
"aşiret","büyük ölçüde aynı dil ve kültürü paylaşan, birçok boydan (kabile) oluşan, yapısındaki aileler arasında toplum, ekonomi, din, kan veya evlilik bağları bulunan göçebe veya yerleşik nitelikteki topluluk, oymak"
"ba’dehu","ondan sonra"
"bâtıl","doğru olmayan, yalan yanlış"
"bedevî","köylü; çölde, çadırda yaşayan göçebe; medenî olmayan"
"bîçare","çaresiz"
"cerh","yaralama, bozma, çürütme"
"dâhilî","iç"
"dâhiyâne","çok zekice, akıllıca"
"derecat-ı hararet","sıcaklık dereceleri"
"derece-i nimet","nimetin derecesi"
"hakikat","asıl, esas, gerçek"
"hasım","düşman"
"husumet","düşmanlık"
"husumet-i hariciye","dışa ait düşmanlık, yabancıların düşmanlığı"
"idlâl","doğru yoldan çıkarma, saptırma"
"inkılâp etme","dönüşme"
"isti’zam","büyütme"
"kabile","boy; ortak bir atadan geldikleri düşüncesiyle aralarında kan bağı olan, toplumsal ve ekonomik ilişkilerinde babayı veya anayı esas alan geleneksel topluluk"
"kabiliyet-i telkîha","aşılanabilir olma, aşı tutmaya elverişli ve kabiliyetli olma"
"kay","kusmuk"
"misâl","görüntü, yansıma"
"musibet","felâket, büyük sıkıntı"
"münevver","aydın, aydınlanmış"
"mütebayin","birbirinden farklı"
"mütehasım","karşılıklı düşmanlık eden; karşılıklı olarak dâvâ eden"
"müterakîm","birikmiş, yığılmış"
"nimet","iyilik, lütuf, ihsan"
"nisyan","unutkanlık"
"prensip","esas, ilke"
"red","geri döndürme, kabul etmeme"
"saadet","mutluluk"
"sâfi","duru, temiz"
"serfüru bürde-i itaat ve ihtiram","itaat ve saygıyla boyun eğme"
"sevk-i tabiî","tabii sevk, yaratılış ve fıtrattan gelen sevk, yöneliş"
"şâyân-ı istiğrab","şaşkınlık sebebi, hayret verici, şaşırtıcı"
"tasvir","canlandırarak anlatma"
"telâkki","kabul etmek"
"telkinat-ı musırrane","ısrarla fikirlerini kabul ettirmeye çalışma"
"teşdit etme","şiddetlendirme, güçlendirme"
"vahşet-i cehalet","cahillik vahşeti, ürkütücülüğü"
"vahşi","yabanî, medenî olmayan"
"zuhur","ortaya çıkma, belirme"
"âlâm","elemler, acılar, kederler"
"âlim-i mürşid","irşad eden, yol gösteren âlim, yol gösterici bilgin"
"âlûfte olma","alışkanlık ve ülfetle duyarsız hâle gelme, namus perdesi yırtık olma"
"aşiret","büyük ölçüde aynı dil ve kültürü paylaşan, birçok boydan (kabile) oluşan, yapısındaki aileler arasında toplum, ekonomi, din, kan veya evlilik bağları bulunan göçebe veya yerleşik nitelikteki topluluk, oymak"
"ba’dehu","ondan sonra"
"bâtıl","doğru olmayan, yalan yanlış"
"bedevî","köylü; çölde, çadırda yaşayan göçebe; medenî olmayan"
"bîçare","çaresiz"
"cerh","yaralama, bozma, çürütme"
"dâhilî","iç"
"dâhiyâne","çok zekice, akıllıca"
"derecat-ı hararet","sıcaklık dereceleri"
"derece-i nimet","nimetin derecesi"
"hakikat","asıl, esas, gerçek"
"hasım","düşman"
"husumet","düşmanlık"
"husumet-i hariciye","dışa ait düşmanlık, yabancıların düşmanlığı"
"idlâl","doğru yoldan çıkarma, saptırma"
"inkılâp etme","dönüşme"
"isti’zam","büyütme"
"kabile","boy; ortak bir atadan geldikleri düşüncesiyle aralarında kan bağı olan, toplumsal ve ekonomik ilişkilerinde babayı veya anayı esas alan geleneksel topluluk"
"kabiliyet-i telkîha","aşılanabilir olma, aşı tutmaya elverişli ve kabiliyetli olma"
"kay","kusmuk"
"misâl","görüntü, yansıma"
"musibet","felâket, büyük sıkıntı"
"münevver","aydın, aydınlanmış"
"mütebayin","birbirinden farklı"
"mütehasım","karşılıklı düşmanlık eden; karşılıklı olarak dâvâ eden"
"müterakîm","birikmiş, yığılmış"
"nimet","iyilik, lütuf, ihsan"
"nisyan","unutkanlık"
"prensip","esas, ilke"
"red","geri döndürme, kabul etmeme"
"saadet","mutluluk"
"sâfi","duru, temiz"
"serfüru bürde-i itaat ve ihtiram","itaat ve saygıyla boyun eğme"
"sevk-i tabiî","tabii sevk, yaratılış ve fıtrattan gelen sevk, yöneliş"
"şâyân-ı istiğrab","şaşkınlık sebebi, hayret verici, şaşırtıcı"
"tasvir","canlandırarak anlatma"
"telâkki","kabul etmek"
"telkinat-ı musırrane","ısrarla fikirlerini kabul ettirmeye çalışma"
"teşdit etme","şiddetlendirme, güçlendirme"
"vahşet-i cehalet","cahillik vahşeti, ürkütücülüğü"
"vahşi","yabanî, medenî olmayan"
