"ünsiyet","canayakınlık"
"tenezzüh","gezinti"
"inkılâp","dönüşme"
"mütemadiyen","sürekli olarak"
"mevt","ölüm"
"karn","asır, çağ"
"emvâc","dalgalar"
"hadsiz","sayısız"
"adem","yokluk"
"zemin","yeryüzü"
"Kur'ân-ı Hakîm","sonsuz hikmetlerle dolu Kur'ân"
"sefine-i mâneviye","mânevî gemi"
"hakikat-i İslâmiyet","İslâmiyet gerçeği"
"selâmet","kötülüklerden kurtulma, esenlik"
"sahil-i selâmet","güvenli yer"
"tenezzüh","gezinti"
"vahşet","ürküntü, yabanîlik"
"nazar-ı ibret","ibret gözüyle bakış"
"tefekkür","düşünme"
"sırr-ı Kur'ân","Kur'ân'ın sırrı"
"terbiye-i Furkaniye","doğru ile yanlışı birbirinden ayıran Kur'ân'ın verdiği eğitim"
"nefs","insanı lezzetlere, maddî menfaatlere sevk eden duygu"
"merkûb","binek"
"hayat-ı ebediye","sonsuz hayat, âhiret hayatı"
"Elhasıl","kısaca, özetle"
"mahiyet","öz nitelik, özellik"
"câmiiyet","geniş, kapsamlı oluş"
"müteellim","acı çeken"
"arz","yeryüzü"
"ihtizâzât","sarsıntılar"
"hengâmında","sırasında"
"zelzele-i kübrâ","büyük deprem, kıyamet"
"müteellim","acı çeken"
"hurdebinî","mikroskobik"
"ecrâm-ı ulviye","gök cisimleri"
"zuhur","ortaya çıkma, görünme"
"hadsiz","sayısız"
"ebedî","sonsuz"
"müştakane","şevkle, çok isteyerek"
"Mâbud","kendisine ibadet edilen"
"Rab","her bir varlığa muhtaç olduğu şeyleri veren, onları terbiye edip idaresi ve egemenliği altında bulunduran Allah"
"melce","sığınak"
"halâskâr","kurtarıcı"
"maksud","kastedilen, hedef alınan şey"
"umum","bütün"
"kabza-i tasarruf","hüküm ve idare eden el"
"zerrat","zerreler"
"seyyârat","gezegenler"
"taht-ı emr","emrinde, emri altında"
"Yunusvâri","Yunus gibi"
"Lem'a","parıltı"
"Hazret-i Eyyûb","Kur'ân-ı Kerimde adı geçen peygamberlerden olan Hz. Eyyûb (a.s.) Sabır Kahramanı olarak bilinir. Hz. İbrahim'in (a.s.) oğlu İshak'ın (a.s.) torunudur; bk. Eyyup (a.s.)"
"aleyhisselâm","Allah'ın selâmı onun üzerine olsun"
"münâcât","Allah'a yalvarış, duâ"
"mücerreb","denenmiş"
"âyet","Kur'ân'ın her bir cümlesi"
"iktibas","alıntı"
"suret","şekil, biçim"
"münâcât","Allah'a yalvarış, duâ"
"Hazret-i Eyyûb","Kur'ân-ı Kerimde adı geçen peygamberlerden olan Hz. Eyyûb (a.s.) Sabır Kahramanı olarak bilinir. Hz. İbrahim'in (a.s.) oğlu İshak'ın (a.s.) torunudur; bk. Eyyup (a.s.)"
"aleyhisselâm","Allah'ın selâmı onun üzerine olsun"
"hülâsa","özet"
"müddet","süre"
"azîm","büyük"
"mükâfât","ödül"
"kemâl-i sabır","tam sabır"
"tahammül","dayanma"
"tevellüt","kaynaklanan"
"zikir","Allah'ı anma"
"marifet-i İlâhiye","Allah'ı tanıma"
"mahal","yer"
"vazife-i ubudiyet","kulluk görevi"
"halel","zarar"
"ubudiyet-i İlâhiye","Allah'a kulluk"
"Rab","her bir varlığa muhtaç olduğu şeyleri veren, onları terbiye edip idaresi ve egemenliği altında bulunduran Allah"
"ubudiyet","kulluk"
"halel","zarar"
"münâcât","Allah'a yalvarış, duâ"
"Cenâb-ı Hak","Hakkın tâ kendisi olan şeref ve yücelik sahibi Allah"
"hâlis","saf"
"sâfi","temiz, arınmış"
"garazsız","başka bir niyet taşımaksızın"
"lillâh için","Allah için"
"münâcât","Allah'a yalvarış, duâ"
"suret","şekil, biçim"
"kemâl-i âfiyet","tam anlamıyla sağlıklı olma"
"ihsan","bağış"
"envâ-ı merhamet","merhamet türleri"
"mazhar","eriştirmek"
"Lem'a","parıltı"
"Nükte","derin ve ince anlamlı söz"
"NÜKTE","derin ve ince anlamlı söz"
"Hazret-i Eyyûb","bk. Eyyûb (a.s.)"
"aleyhisselâm","Allah'ın selâmı onun üzerine olsun"
"zâhirî","görünürde"
"mukabil","karşılık"
"bâtınî","iç"
"ruhî","ruhla ilgili"
"Hazret-i Eyyûb","bk. Eyyûb (a.s.)"
"Hazret-i Eyyûb","bk. Eyyûb (a.s.)"
"aleyhisselâm","Allah'ın selâmı onun üzerine olsun"
"hayat-ı dünyeviye","dünya hayatı"
"hayat-ı ebediye","sonsuz hayat"
"münâcât-ı Eyyûbiye","Eyyûb peygamberin duası"
"hazret","hürmet için kullanılan ünvan"
"Bahusus","özellikle"
"hazret","hürmet için kullanılan ünvan"
"neş'et","ortaya çıkmak, meydana gelmek"
"hasıl","ortaya çıkan"
"vesvese","kuruntu"
"neûzu billâh","Allah'a sığınırız"
"mahall-i iman","imanın yeri"
"bâtın-ı kalb","kalbin içi"
"zevk-i ruhanî","ruhun aldığı zevk"
"zikir","Allah'ı anma"
"nefretkârâne","nefret edercesine"
"nur-u iman","imanın aydınlığı"
"küfr","inkâr"
"istiğfar","Allah'tan bağışlanma dilemek"
"ıttıla","haberdar olma"
"hicap","utanma"
"melâike","melekler"
"ruhaniyât","maddî yapısı olmayan ruhanî varlıklar"
"vücud","varlık"
"emâre","belirti, işaret"
"intaç","netice veren"
"tehdidât","tehditler"
"istiğfar","Allah'tan bağışlanma dilemek"
"adem","hiçlik, yokluk"
"emâre","belirti, işaret"
"farz","Allah'ın kesinlikle yapılmasını emrettiği şey"
"vazife-i ubudiyet","kulluk görevi"
"tekdir","azarlama"
"müteessir","etkilenen, üzülen"
"Sultan-ı Ezel ve Ebed","başlangıç ve sonu olmaksızın, hüküm ve saltanatı ezelden ebede devam eden Sultan, Allah"
"mükerrer","tekrarlanan"
"farz","Allah'ın kesinlikle yapılmasını emrettiği şey"
"mânen","mânevî olarak"
"vazife-i ubudiyet","kulluk görevi"
"adâvet-i İlâhiye","Allah'a düşmanlık"
"işmam","hissettirme"
"vücud-u İlâhiye","Allah'ın varlığı"
"helâket","mahvolma"
"bedbaht","talihsiz, bahtsız"
"cüz'î","ferdî, az, küçük"
"vazife-i ubudiyet","kulluk görevi"
"mukabil","karşılık"
"hâkezâ","bunun gibi"
"NÜKTE","derin ve ince anlamlı söz"
"sırr-ı kader","kader sırrı"
"beyan","açıklama"
"musibet","belâ, büyük sıkıntı"
"şekvâ","şikâyet"
"vecih","yön"
"VECİH","yön"
"Cenâb-ı Hak","Hakkın tâ kendisi olan şeref ve yücelik sahibi Allah"
"vücut","varlık"
"libas","elbise"
"mazhar","ayna yapmak"
"vücut","varlık"
"libas","elbise"
"tebdil","değiştirmek"
"tağyir","değiştirmek"
"esmâ","isimler"
"cilve","görüntü, yansıma"
"Şâfî","yarattıklarına şifa verip iyileştiren Allah"
"Rezzak","bütün varlıkların rızıklarını veren Allah"
"iktiza","gerektirmek"
"hâkezâ","bunun gibi"
"VECİH","yön"
"musibet","belâ, büyük sıkıntı"
"tasaffi","saf hâle gelmek, temizlenmek"
"kemal","olgunluk, mükemmellik"
"terakki","gelişme"
"tekemmül","mükemmelleşme"
"vazife-i hayat","hayat görevi"
"Yeknesak","tekdüze, monoton"
"hayr-ı mahz","sırf hayırdan ibaret"
"vücut","varlık"
"ziyade","çok, fazla"
"şerr-i mahz","tamamıyla şer ve kötü"
"adem","hiçlik, yokluk"
"VECİH","yön"
"dâr-ı dünya","dünya yurdu"
"meydan-ı imtihan","imtihan meydanı"
"dâr-ı hizmet","hizmet yeri"
"dâr-ı hizmet","hizmet yeri"
"mahall-i ubudiyet","kulluğun yapılacağı yer"
"musibet","belâ, büyük sıkıntı"
"ubudiyet","kulluk"
"muvafık","uygun"
"şekvâ","şikâyet"
"müsbet","insan iradesiyle yapılan ve yapılmasının zorunluluğu şer'î delille ispatlanmış, kesin ve sabit olan; namaz ve oruç gibi"
"menfi","hastalık gibi insan iradesi dışında gerçekleşen ve sabırla ibadet hükmüne geçen tecelliler"
"Müsbet","insan iradesiyle yapılan ve yapılmasının zorunluluğu şer'î delille ispatlanmış, kesin ve sabit olan; namaz ve oruç gibi"
"Menfi","hastalık gibi insan iradesi dışında gerçekleşen ve sabırla ibadet hükmüne geçen tecelliler"
"musibet","belâ, büyük sıkıntı"
"musibetzede","belâya uğrayan"
"acz","acizlik, güçsüzlük"
"Rabb-i Rahîm","yarattığı herbiri varlığa sonsuz şefkatini gösteren Rab"
"ilticâkârâne","sığınarak"
"teveccüh","yönelme"
"hâlis","içten"
"ubudiyet","kulluk"
"ubudiyet","kulluk"
"riyâ","gösteriş"
"hâlis","içten"
"musibet","belâ, büyük sıkıntı"
"mükâfât","ödül"
"âhiret","öldükten sonraki sonsuz hayat"
"Muhacir Hafız Ahmed","bk. Hafız Ahmed"
"zât","kişi"
"ziyade","çok, fazla"
"ihtar edildi","hatırlatıldı"
"Zat","kişi"
"zat","kişi"
"NÜKTE","derin ve ince anlamlı söz"
"beyan","açıklamak"
"teessüf","üzülmek"
"Elhamdü lillâh","hamd ve şükür yalnızca Allah'a mahsustur"
"lezâiz","lezzetler"
"zeval","geçip gitme, yok olma"
"firak","ayrılık"
"neş'et","kaynaklanan"
"elem","üzüntü"
"zevâl-i lezzet","lezzetin bitmesi"
"elem","üzüntü"
"muvakkat","gelip geçici"
"elem","üzüntü"
"elem","üzüntü"
"teessüf","üzülmek"
"muvakkat","gelip geçici"
"âlâm","elemler, acılar"
"zevâl","geçip gitme, yok olma"
"neş'et","kaynaklanan"
"Elhamdü lillâh","hamd ve şükür yalnızca Allah'a mahsustur"
"fıtrî","doğuştan, yaratılıştan"
"hâlet","vaziyet, durum"
"musibet","belâ, büyük sıkıntı"
"mükâfât-ı uhreviye","âhirete ait ödüller"
"musibet","belâ, büyük sıkıntı"
"ziyade","çok, fazla"
"iktiza","gerektirmek"
"Musibet","belâ, büyük sıkıntı"
"musibet","belâ, büyük sıkıntı"
"örf-ü nâs","insanlar arasında kabul görmüş, gelenek haline gelmiş hususlar"
"Cenâb-ı Hak","hakkın tâ kendisi olan şeref ve yücelik sahibi Allah"
"evham","kuruntular, şüpheler"
"musibet","belâ, büyük sıkıntı"
"tahakküm","baskı, zorbalık"
"gaflet","dikkatsizlik, umursamazlık; âhirete ve Allah'ın emir ve yasaklarına duyarsızlık hâli"
"fâni","gelip geçici"
"bâki","devamlı ve kalıcı"
"tevehhüm","kuruntuya kapılma"
"mazi","geçmiş zaman"
"müstakbel","gelecek zaman"
"halihazır","şimdiki zaman"
"musibet","belâ, büyük sıkıntı"
"şekvâ","şikâyet"
"hâşâ","asla"
"Cenâb-ı Hak","hakkın tâ kendisi olan şeref ve yücelik sahibi Allah"
"şekvâ","şikâyet"
"suret","biçim, şekil"
"divanece","akılsızca"
"şekvâ","şikâyet"
"musibet","belâ, büyük sıkıntı"
"zevâl","gelip geçicilik, yokluk"
"şekvâ","şikâyet"
"mütelezzizâne","lezzet alarak"
"fâni","gelip geçici"
"musibet","belâ, büyük sıkıntı"
"bâki","devamlı ve kalıcı"
"mes'ut","mutlu"
"nevi","tür"
"âlâm","elemler, acılar"
"vehim","kuruntu"
"divanelik","akılsızlık"
"musibet","belâ, büyük sıkıntı"
"şekvâ","şikâyet"
"mütemadiyen","sürekli olarak"
"divanelik","akılsızlık"
"adem","yokluk, hiçlik"
"musibet","belâ, büyük sıkıntı"
"müteellim","acı çeken"
"belâhet","aptallık"
"liyakat","lâyık olma"
"selb","ortadan kaldırmak"
"Elhasıl","kısaca, özetle"
"şekvâ","şikâyet"
"musibet","belâ, büyük sıkıntı"
"liyakat","lâyık olma"
"selb","ortadan kaldırmak"
"Birinci Harb-i Umumî","Birinci Dünya Savaşı; bk. Birinci Harb-i Umumî"
"Erzurum","bk. Erzurum"
"giriftar","tutulma"
"sürur","mutluluk, sevinç"
"şekvâ","şikâyet"
"bakı","devamlı ve kalıcı"
"Rab","her bir varlığa muhtaç olduğu şeyleri veren, onları terbiye edip idaresi ve egemenliği altında bulunduran Allah"
"Rahmânü'r-Rahîm","rahmeti bütün kâinatı kuşattığı gibi her bir varlığa da özel rahmet tecellisi olan Allah"
"rahmet","İlâhî şefkat, merhamet"
"adem","yokluk, hiçlik"
"kâfi","yeterli"
"Divane","akılsız, deli"
"cenah","taraf"
"cenah","taraf"
"iltihak","katılmak"
"cenah","taraf"
"cenah","taraf"
"ednâ","en küçük, en ufak"
"harap","yok etme"
"tahşid","desteklemek, odaklanmak"
"Rahmet-i İlâhiye","Allah'ın herşeyi kuşatan sonsuz rahmeti"
"mükâfât-ı uhreviye","âhirete ait ödül"
"fâni","gelip geçici"
"bâki","kalıcı ve devamlı"
"suret","şekil"
"şekvâ","şikâyet"
"Elhamdü lillâh","hamd ve şükür yalnızca Allah'a mahsustur"
"NÜKTE","derin ve ince anlamlı söz"
"musibet","belâ, büyük sıkıntı"
"muzır","zararlı"
"musibet","belâ, büyük sıkıntı"
"musibet","belâ, büyük sıkıntı"
"Musibet-i diniye","dine gelen belâ"
"dergâh-ı İlâhiye","Allah'ın yüce katı"
"iltica","sığınmak"
"musibet","belâ, büyük sıkıntı"
"hakikat","doğru gerçek"
"musibet","belâ, büyük sıkıntı"
"ihtar-ı Rahmânî","Allah'ın şefkât ve merhametle yaptığı uyarılar"
"gayr","başka"
"ihtar","uyarı"
"memnunâne","memnun kalarak"
"zâhirî","görünürde"
"musibet","belâ, büyük sıkıntı"
"İlâhî","Allah tarafından olan"
"ihtar","uyarı"
"ikaz","uyarı"
"keffâretü'z-zünub","günahların bağışlanmasına vesile"
"gaflet","dikkatsizlik, umursamazlık; âhirete ve Allah'ın emir ve yasaklarına duyarsızlık hâli"
"beşerî","insanî"
"acz","acizlik, güçsüzlük"
"zaaf","zayıflık"
"nevi","çeşit"
"Musibet","belâ, büyük sıkıntı"
"musibet","belâ, büyük sıkıntı"
"iltifat-ı Rabbânî","Allah'ın lütfu"
"tathir","temizleme"
"Rivayet","bir sözü nakletme; Hadis-i Şerifin nakledilmesi"
"Hazret-i Eyyûb","bk. Eyyûb (a.s.)"
"aleyhisselâm","Allah'ın selâmı onun üzerine olsun"
"münâcât","Allah'a yalvarış, duâ"
"istirahat-i nefis","kişinin rahat etmesi"
"zikr-i lisanî","Allah'ı dille anmak"
"tefekkür-ü kalbîye","kalp ile yapılan tefekkür"
"ubudiyet","kulluk"
"münâcât","Allah'a yalvarış, duâ"
"ubudiyet","kulluk"
"iltica","sığınmak"
"muterizâne","itiraz eder şekilde"
"müştekiyâne","şikâyet eder gibi"
"mütezellilâne","kusur ve güçsüzlüğünü anlayarak"
"istimdatkârâne","medet ve yardım istercesine"
"iltica","sığınmak"
"rububiyet","Allah'ın bütün varlık âlemini kuşatan egemenliği, yaratıcılığı, idaresi ve terbiyesi"
"rububiyet","Allah'ın bütün varlık âlemini kuşatan egemenliği, yaratıcılığı, idaresi ve terbiyesi"
"rıza","hoşnud olma, kabullenme"
"Kazâ","olacağı Allah tarafından bilinen ve takdir olunan şeylerin zamanı gelince yaratılması"
"kader","Allah'ın ezelî ilmi ile kâinatta olacak herşeyi bilip takdir etmesi"
"işmam","hissettirme"
"şekvâ","şikâyet"
"nevi","çeşit"
"kader","Allah'ın ezelî ilmi ile kâinatta olacak herşeyi bilip takdir etmesi"
"rahîmiyet","herbir varlığa rahmetiyle özel tecelli ediciliği"
"Kader","Allah'ın ezelî ilmi ile kâinatta olacak herşeyi bilip takdir etmesi"
"örs","üzerinde demir ve benzeri madenler dövülen çelik yüzeyli, kalın ve bir tarafı sivri alet"
"Rahmet","İlâhî şefkat, merhamet"
"ittiham","suçlamak"
"rahmet","İlâhî şefkat, merhamet"
"istimal","kullanma"
"tezyid","arttırma"
"musibet","belâ, büyük sıkıntı"
"giriftar","tutulma, girme"
"itirazkârâne","itiraz eder gibi"
"şekvâ","şikâyet"
"musibet","belâ, büyük sıkıntı"
"musibet","belâ, büyük sıkıntı"
"tehacüm","hücum etme"
"lâkayt","ilgisiz"
"musibet","belâ, büyük sıkıntı"
"nazar","bakış"
"musibet","belâ, büyük sıkıntı"
"musibet","belâ, büyük sıkıntı"
"istinad","dayanma"
"kazâ","olacağı Allah tarafından bilinen ve takdir olunan şeylerin zamanı gelince yaratılması"
"rıza","hoşnud olma, kabullenme"
"tevekkül","Allah'a dayanma ve güvenme"
"izale","giderme, ortadan kaldırma"
"musibet","belâ, büyük sıkıntı"
"hakikat","doğru gerçek"
"biçare","çaresiz"
"tevekkül","Allah'a dayanma ve güvenme"
"belâ ender","belâ içinde"
"hatâ ender","hatâ içinde"
"safâ ender","huzur ve rahatlık içinde"
"atâ ender","bolluk ve lûtuf içinde"
"cefâ ender","işkence içinde, sıkıntılı"
"fenâ ender","yokluk içinde"
"Cihan","âlem"
"tevekkül","Allah'a dayanma ve güvenme"
"Tevekkül","Allah'a dayanma ve güvenme"
"tebeddül","değişme"
"mübareze","karşılıklı mücadele, çatışma"
"hasm","düşman"
"adâvet","düşmanlık"
"musalâha","barışma"
"husumet","düşmanlık"
"adâvet","düşmanlık"
"tevekkül","Allah'a dayanma ve güvenme"
"gaflet","sorumsuzluk, âhiretten ve Allah'ın emir ve yasaklarından habersiz davranma"
"eşhas","kişiler"
"lûtf-u İlâhî","Allah'ın lütuf ve ikramı"
"sair","diğer"
"musibetzede","musibete uğrayan"
"bahtiyar","talihli, mutlu"
"iras","vermek, bırakmak"
"emsal","benzer"
"vazife-i diniye","dini görev"
"âhiret","öldükten sonraki sonsuz hayat"
"merbutiyet","bağlılık"
"nevi","tür, çeşit"
"nevi","tür, çeşit"
"nimet-i İlâhiye","Allah'ın nimeti"
"çendan","gerçi"
"dünyevî","dünya ile ilgili"
"fâni","gelip geçici, ölümlü"
"iras","vermek, bırakmak"
"ebedî","sonsuz"
"nevi","tür, çeşit"
"sefahet","yasak zevk ve eğlenceye düşkünlük"
"hâlet","durum, hâl"
"sefahet","yasak zevk ve eğlenceye düşkünlük"
"Hâtime","sonuç, son söz"
"Cenâb-ı Hak","Hakkın ta kendisi olan şeref ve yücelik sahibi Allah"
"hadsiz","sonsuz"
"kudret","güç, iktidar"
"nihayetsiz","sınırsız"
"rahmet","İlâhî şefkat, merhamet"
"hadsiz","sonsuz"
"acz","acizlik, güçsüzlük"
"nihayetsiz","sınırsız"
"fakr","muhtaçlık"
"derc","yerleştirme"
"hadsiz","sonsuz"
"nukuş-u esmâ","İlâhî isimlerin nakışları"
"suret","biçim, şekil"
"halk","yaratma"
"hadsiz","sonsuz"
"cihet","yön"
"elem","keder, üzüntü"
"hadsiz","sonsuz"
"cihet","yön"
"makine-i insaniye","bir makine hükmünde olan insanın beden ve cihazları"
"elem","keder, üzüntü"
"mükâfât","ödül"
"insan-ı ekber","büyük insan"
"âlem","dünya; kâinat"
"tecellî","görünüm, yansıma"
"esmâ-i İlâhi","Allah'ın isimleri"
"âlem-i asgar","en küçük âlem"
"esmâ","isimler"
"umumiyetle","genellikle"
"cilve","görüntü, yansıma"
"lezâiz","lezzetler"
"nâfi","faydalı"
"cihet","yön"
"sevk","gönderme, yönlendirme"
"musibet","belâ, büyük sıkıntı"
"âlâm","elemler, acılar"
"sair","başka"
"müheyyiç","heyecan verici"
"muharrik","harekete geçirici"
"ârıza","aksama"
"tehyiç","heyecanlandırma"
"Mahiyet-i insaniye","insanın temel özelliği"
"münderiç","yerleştirilmiş"
"acz","acizlik, güçsüzlük"
"zaaf","zayıflık, güçsüzlük"
"fakr","muhtaçlık"
"lisan","dil"
"âzâ","uzuvlar, organlar"
"lisan","dil"
"iltica","sığınma"
"istimdat","yardım isteme"
"ârıza","aksama"
"tazammun","içeren"
"müteharrik","hareketli"
"sahife-i hayat","hayat sayfası"
"levh-i misalî","maddî âlemdeki olayların ve varlıkların üzerinde yansıdığı mânevî levha"
"mukadderât-ı hayat","kader kalemiyle yazılmış hayat programları"
"esmâ-i İlâhi","Allah'ın isimleri"
"ilânnâme","duyuru"
"kaside-i manzume-i Sübhâniye","bütün noksanlıklardan uzak olan Allah'ın hassas ölçülerle düzenli bir şekilde yazdığı kaside"
"vazife-i fıtrat","yaratılıştan gelen görev"
"ifa","yerine getirme"
"Lem'a","parıltı"
"Lem'a","parıltı"
"his","duygu"
"His","duygu"
"düstur","kural, kanun"
"mizan","ölçü, denge"
"müraat","uyma"
"Lem'a","parıltı"
"mizan","ölçü, denge"
"âyet","Kur'ân'ın her bir cümlesi"
"meâl","açıklama, anlam"
"hakikat","doğru gerçek"
"Nakşî","Nakşibendî tarikatine bağlı olan; bk. Şâh-ı Nakşibend"
"rüesa","reisler, önde gelenler"
"hatme-i mahsus","Kur'ân'dan veya hadisten alınan belirli duaları okuyup bitirmek"
"muhtasar","kısa, özet"
"hatme-i Nakşiye","Nakşî tarikatı mensuplarının okuyup bitirdikleri belirli dualar"
"azîm","büyük, yüce"
"âyet","Kur'ân'ın her bir cümlesi"
"meâl","açıklama, anlam"
"hakikat-i mühimme","önemli gerçek"
"nükte","ince ve derin mânâlı söz"
"beyan","açıklama"
"NÜKTE","ince ve derin mânâlı söz"
"ameliyat-ı cerrahiye","cerrahî operasyon, ameliyat"
"mâsivâ","Allah'ın dışındaki varlıklar"
"tecrit","soyutlama, ayırma"
"mahiyet-i câmiiyet","pek çok özelliği üzerinde toplayan kapsamlı yapı"
"itibarıyla","açısından"
"mevcudat","varlıklar"
"ekserî","çoğunluk"
"alâkadar","alâkalı, ilgili"
"mahiyet-i câmia","pek çok özelliği üzerinde toplayan kapsamlı yapı"
"hadsiz","sınırsız"
"istidad-ı muhabbet","sevme kabiliyeti"
"derc","yerleştirilmek"
"umum","bütün"
"mevcudat","varlıklar"
"muhabbet","sevgi"
"hane","ev"
"Ebedî","sonu olmayan, sonsuz"
"muhabbet","sevgi"
"muhabbet","sevgi"
"mevcudat","varlıklar"
"Firak","ayrılık"
"azap","acı, sıkıntı, ceza"
"hadsiz","sınırsız, sonsuz"
"muhabbet","sevgi"
"hadsiz","sınırsız, sonsuz"
"mânevî","mânâya ait, maddî olmayan"
"medar","sebep, kaynak"
"hadsiz","sınırsız, sonsuz"
"istidad-ı muhabbet","sevme kabiliyeti"
"hadsiz","sınırsız, sonsuz"
"cemâl-ı bâki","devamlı ve kalıcı güzellik"
"mâlik","sahip"
"tevcih","yöneltme"
"sûiistimal","birşeyi kötüye kullanma"
"muhabbet","sevgi"
"fâni","geçici olan, ölümlü"
"mevcudat","varlıklar"
"sarf","harcama"
"cihet","taraf, yön"
"firâk","ayrılık"
